month,commit_count,lines_added,lines_removed,total_churn,files_changed,month_date
2001-12,8,1914,46,1960,30,2001-12-01
2002-01,117,90283,3126,93409,436,2002-01-01
2002-02,39,2918,856,3774,134,2002-02-01
2002-03,23,4943,129,5072,40,2002-03-01
2002-04,55,8079,3734,11813,152,2002-04-01
2002-05,17,435,167,602,25,2002-05-01
2002-06,15,6423,2801,9224,25,2002-06-01
2002-07,7,107,35,142,13,2002-07-01
2002-08,14,573,393,966,29,2002-08-01
2002-09,59,42043,14797,56840,391,2002-09-01
2002-10,40,3978,1959,5937,89,2002-10-01
2002-11,17,453,77,530,24,2002-11-01
2002-12,5,216,41,257,7,2002-12-01
2003-01,14,628,145,773,19,2003-01-01
2003-02,21,562,122,684,23,2003-02-01
2003-03,34,1276,332,1608,59,2003-03-01
2003-04,5,218,17,235,7,2003-04-01
2003-05,5,172,33,205,5,2003-05-01
2003-06,2,7,7,14,2,2003-06-01
2003-08,9,176,63,239,11,2003-08-01
2003-09,27,1866,994,2860,59,2003-09-01
2003-10,38,1582,1625,3207,110,2003-10-01
2003-11,12,80,60,140,14,2003-11-01
2003-12,15,209,114,323,24,2003-12-01
2004-01,18,3797,138,3935,66,2004-01-01
2004-02,71,2527,136139,138666,437,2004-02-01
2004-03,50,471,163,634,64,2004-03-01
2004-04,34,1340,137,1477,50,2004-04-01
2004-05,33,1051,138,1189,45,2004-05-01
2004-06,16,1610,99,1709,23,2004-06-01
2004-08,2,40,21,61,2,2004-08-01
2004-09,20,891,662,1553,32,2004-09-01
2004-10,27,344,233,577,43,2004-10-01
2004-11,38,2242,501,2743,59,2004-11-01
2004-12,10,1019,687,1706,32,2004-12-01
2005-01,11,131,114,245,17,2005-01-01
2005-02,1,4,0,4,1,2005-02-01
2005-03,12,294,118,412,19,2005-03-01
2005-04,1,1346,0,1346,2,2005-04-01
2005-05,4,51,48,99,10,2005-05-01
2005-06,4,55,16,71,5,2005-06-01
2005-07,3,46,24,70,3,2005-07-01
2005-08,8,77,1,78,8,2005-08-01
2005-09,143,175445,46928,222373,1778,2005-09-01
2005-10,255,14715,10649,25364,712,2005-10-01
2005-11,134,38640,28409,67049,496,2005-11-01
2005-12,194,15522,14011,29533,724,2005-12-01
2006-01,265,15358,141037,156395,1440,2006-01-01
2006-02,135,7358,4061,11419,303,2006-02-01
2006-03,134,8344,4233,12577,378,2006-03-01
2006-04,137,4118,1997,6115,252,2006-04-01
2006-05,86,2642,574,3216,132,2006-05-01
2006-06,154,23957,12439,36396,419,2006-06-01
2006-07,208,35259,208703,243962,876,2006-07-01
2006-08,147,13071,7324,20395,454,2006-08-01
2006-09,135,8506,4644,13150,258,2006-09-01
2006-10,179,18503,8558,27061,396,2006-10-01
2006-11,41,4978,2542,7520,69,2006-11-01
2006-12,26,3846,2749,6595,68,2006-12-01
2007-01,33,3912,3747,7659,174,2007-01-01
2007-02,41,2421,1348,3769,63,2007-02-01
2007-03,60,12764,7147,19911,125,2007-03-01
2007-04,89,10075,7171,17246,166,2007-04-01
2007-05,111,4873,3242,8115,260,2007-05-01
2007-06,24,650,398,1048,35,2007-06-01
2007-07,61,1653,1092,2745,85,2007-07-01
2007-08,50,28366,25046,53412,142,2007-08-01
