Repository Insight Analysis: NumPy Monthly Activity Summary
=================================================================

Number of monthly observations: 292
Time period: 2001-12 to 2026-05
Total commits analyzed: 31075
Total lines added: 3092595
Total lines removed: 2728205
Total churn: 5820800
Average monthly commits: 106.42
Average monthly churn: 19934.25

Top 10 months by commit count:
  month  commit_count  total_churn  lines_added  lines_removed
2021-05           305        19755        14694           5061
2025-10           288        18138        10404           7734
2020-10           284        21135        16253           4882
2006-01           265       156395        15358         141037
2023-07           259        13107         7515           5592
2023-06           259        41735        21427          20308
2005-10           255        25364        14715          10649
2021-02           251        16156        12875           3281
2020-05           250        12654         7659           4995
2024-07           247        18577        11608           6969

Top 10 months by total churn:
  month  commit_count  total_churn  lines_added  lines_removed
2007-12            98       253777        15891         237886
2017-03           137       252364       136861         115503
2006-07           208       243962        35259         208703
2005-09           143       222373       175445          46928
2016-12            67       218728       107249         111479
2012-10            66       165499       160084           5415
2006-01           265       156395        15358         141037
2004-02            71       138666         2527         136139
2021-04           185       129318       124839           4479
2021-08           184       129289         6692         122597

Recent 12 months:
  month  commit_count  total_churn  lines_added  lines_removed
2025-06            95         7598         5709           1889
2025-07           101         5164         3336           1828
2025-08           107        11858         4980           6878
2025-09           124        10507         6520           3987
2025-10           288        18138        10404           7734
2025-11           150        21737        12065           9672
2025-12           168        38832         9214          29618
2026-01           238         9901         6601           3300
2026-02            83         5272         2637           2635
2026-03           114         6530         4419           2111
2026-04           139        14000        10225           3775
2026-05            51        14005         8019           5986
